starting fiscal  year ,Net received foreign exchange earning(NRs in million)
1996,8523
1997,9881.6
1998,12167.8
1999,12073.9
2000,11717
2001,8654.3
2002,11747.7
2003,18147.4
2004,10463.8
2005,9556
2006,10125.3
2007,18653.1
2008,27959.8
2009,28138.6
2010,24610.7
2011,30703.8
2012,34210.6
2013,46374.9
2014,53428.8
2015,41765.4
2016,58526.9
